shona,target
haaa iwe hazvina formula izvi mahure vanhu ava,-1
hanzi heee vakanaka havasati vazvarwa kuden kwako ndokusina vanhu vakanaka,-1
mumba chaimo muna baba namai,-1
sekuona kwangu shadaya is opinionated and he stands by his own opinion asi madzimai varikutotsvagawo relevance nekubu vamweller,0
vakuru vepsmi vasvika kudare reharare magistrates court nepamusoro pokungepfuura vachipfuura vhezheni ekupedzisira mavhoti makuru gare gare gare gare gare gare lee maidza,1
ndevere kana richiri kudya nezanu rinoimba manhanga kutapira asi kana romamirwa nezanu roda kutaura nezvegukurahundi,-1
takunzira pa 4 80 unozviwanira kg yenyama itsva kurumidza izvozvi apo aripo aripo,1
hatingavaka patsva zimbabwe pasina kutenda uye kubvuma kugamuchira kukudza kufirefigiri oye kutsvenesa kupedza kuchave kupa zvipo uye kusazvibata patsva patsva president d mwonzora havafanirwe kuitwa kupedza simba nekukwanisa kwapresident chamisa,-1
after appoint mwonzora deputy kune munhu ane 1 month muparty wawai kuti aende kumba anochema vehutongerwo enyika vanorwa uye doug achaita kuti tiatonge unotenda muna chamisa mukati,-1
i thought engineering was easy until now in my second year kune unoziva kunodiwa nevapfudza mombe,-1
kusveta homwe kudzoka kumba womirira nyasha kuti dzikutengere muriwo,1
kana mota dzedu togezera kumba,1
he won that one if he do that trust me vanhu vanomuunganira usiku huno kuita pungwe chaiyo,0
mabhatiri esolar akazara ma size ese geli nethium kupiwa simba fona kana app 0715313609,1
cheku glenview chakapa vanhu cholera gore riya,-1
vanhu vari single ndovavat shadaya,-1
harare is more than useless mari mashona abadli gundwane,-1
kumba kwenyu munodya zvemuhotera chete everyday 10 10,-1
ummm kana wataura ne varimi kubva kuseni mudumbu munoita gap chokwadi kupesana ne chikafu ndakabva ndati bodo kkk,1
kwana semari yebhazi plus zvitambi zvacho hazvigadzirwi kumba kwenyu,1
1 kure kwegava sharpened 2 mwana asingacheme anenge aguta mukaka,1
eh ini ndaenda chisarai muchitukira vanhu hupenyu hwavo,-1
taurai kublack market isu rega timbo fara zvedu,1
kupa amai vako mazimari kuti vasawudze vanhu kuti nhumbu ndeyako,0
ehekaka isu ma landers unenge we city iwe vana mafikizolo,0
hauzi wakuitisa vanhu here wangu,-1
ummmm chero ndimiwo sisi baba naamai vachiona mwana akadhakwa kudai vanodemba zuva ravakazvitanga kuti muvepo ummmmmm musadaro makafitwa nekutoimba murikumberi mu church mwari ngaakuitirei nyasha muzive nzira yakanaka amen,-1
fear of god essentials hoody silicon print us85 harare zimbabwe,1
honawo kuri kuwanika mwana wevhu,1
saka unoda kudya cashel valley yemahara,-1
kkkk varakashi vana va satan,-1
aaaaah uyu munhu ndrikumuzivaàpastor asi maitwa plastic surgery yeface isiri yenyu,-1
word bro unotomuka uchinzwa dzungu nenzara haaaaa ndopatichatanga kudya vanhu ipapa aaah,0
unenge watoenda zvako kunovhota wowana everything chiri vice versa emerson chamisa nelson munangagwa unovhotera ani,0
baba tine vanhu vanoenda kudubai every week saka ukandiudza kuti ndizive pane shop here,1
pakaipa apa wangu corruption yacho inoshamisa vana vevhu ngatinyorese tose kuvhota,-1
zvagara mukwasha anobvisa zvaakareva chero akauya ndinyorei kumusana what matters is that auya chero akangosvika akabata mbudzi munoti vabereki hava reason here the family will still appreciate him zvasiya nekungotora mwana wevanhu motochaya mapoto ndicho chiito,-1
seriously i see hangu vanhu pano pabird app vachitamba nenyaya iyi but gosh it s highly sensitive in classification terms inowira pasi pe top secret kkkkkkkkk,0
wabva rinhi kumusha usingazizive kuti zanupf inodzvanyirira vanhu kanakuti unoziziva zvako urikuita seunopenga,-1
ok tashaya zvedu rip ne in loving memory of but munhu uyu atorimupenyu here,0
vatovhurira mukana mukana in the name of hustling,1
aka kanembiri yeku blocker vanhu aka ndaa kakazoibvisa tint yacho hameno,-1
makono bhobho hadzisi hunobva paruzivo rwose hunhu hunoita kufevedzera kufevesa sekuona kwangu 79 yevakadzi vanoita kwte kungoti tika semunhu akaita grade 7 chete,-1
man this is bad rega zvinzi usavimbe nemunhu shadaya akandiita kuti ndisatenda murudo apa everyday dzotouchanise color yembatya dzekupfeka,1
unobva wasangana vari baba vako neka youngste haaa all i know is baba havana ngozi,1
kusvika machema,-1
tinosizvireva pano vamwe vofunga kuti taguta waini itsva vanhu ingovai nechimiro nekusazvizvidza kuti vanotevera vaone semucherechedzo,1
inga akabuda achit akubata re zanu plus misangano ndeye vanhu anoinda kwaada,0
angoriwo mashoko ekuzvinyaradza aya mukoma,-1
tichaona putin biden obama unozvipa zita sei muchida kuti ed aiteda uye imi vanhu uyu ndinofanira kunyorwa kuti ipera kwete weclub ccc,-1
akuda kuenda kubritian mfanha uyu ndamuona,0
ahhh walter is just another kasuwere and jonathan vakadzingwa muzanupf vakashaya zvekuita zvinodzoka kuita all nice kikikiki ndozvazvinoita kana wanga wajaira kudya tax payers money,-1
vanhu vanoisa instagram vanobata avo patl vachiti please follow me on instagram,0
mudhara ane mweya wengozi chaiwo uyu nxaaa,-1
nyika inoputswa nevene vayo tikunzwei muchiti harare yakasviba futi and start blaming chamisa,-1
zvanasuzie hazviteedzerwi she wld hv been paid nanachamisa his handlers to speak ill of the zim leadership manje vakanyura dzoserwai mari yenyu chamisa muipe atakurise marara hake harare icheneo,1
kuti ndiye mwari kana airamba kumuona vanhu tinovhotera munhu watinoda chamisa ndiye arikurira,1
kuba kusvika road yakunzi ine zvimakangai,1
unenge uchiita kunge imbwa yapinda muchurch vanhu ngavatsvage ma base ari secure for such engagements,-1
the concept of the beans dzotonzwisa nzara wapedza kudya,1
haaaaaaa vanhu ava soooo,0
student anotakura vanhu here,0
vanhu vari horny shuwa coz hayii mhani,-1
vana vangu ndiombererei maoko ndakutengerai chingwa nemazai nhasi,1
vanhu veku boarding ndovamwe vakapusa,1
sadza 5 mari tichienda ndokuti sadza asi mu _ 10 anything else tenge takutobhowa,0
ccc inokumbira kumutungamiri wekutungamirira mukufambisa mukufambisa nhema mhondi kukumbira kuvigwa kunouya mushure mekunge vatsividze nemhosva kusanyara,1
munhu anotadza kudya sadza nema feelings epa twitter kaa,-1
kudzidzira umlando tiri vanhu vechirume,0
vanonyima vanhu ivavo,-1
join na live izvozvi kusvika 6pm pastar fm,-1
akatadza shuga shuga ozogona shadaya here,0
asi ane matwitter here magumboots a baba vako nhaiwe harare wacho,-1
dwadwa ka baby ka nyama,1
chebly rino arc team iri kubatana nekadoma city health kumutambo weall councilorsæ indaba urimunamwiri chikwata chiri madokero nezvesrhr gbv nedevolution nevakuru venzvimbo,1
tirikunwa mvura,-1
fun cargo inopinda vanhu 16,0
ko kna ndine nzara,0
nzvimbo iri muharare inonzi binga,-1
1 kuenderera mberi nekupara mhosva kwajobho kusvirwa kuti pasina kunyorwa hakuna kururama 2 musanganiswa wenyaya wezvematongerwo enyika nekupazamisa kutaridzirwa nenhaurirano paed nachamisa 3 chitungwiza kunyora mugwara asi road blockade hazard haigwirirwi,0
trade deficit or unfavorable balance of trade for that other country we trading with or edu adzika coz mukutorera vanhu zvinhu pa boarder,-1
ende vanhu kukwereta huku soo,-1
kkkk vana vembwa havasvinure musi mumwe chete,-1
panodikwa futi vano taster chikafu unoisirwa muchetura because of violence yepanapa munhu naye akatokutaimira,1
wabika chikafu chako wega nevana iye anenge akaguta wangu,-1
ndine kubvunza,-1
25 inga uri mwana,-1
pamusoroi vana baba naanamai varairidzi nemi moooose makandipa nzeve dakumbokuitiraiwo detembo rangu rinonzi,1
pamunoinda kwamarange munotsvaka ma votes chete hamuvakurudziri kubayisa vana,-1
i don t really care bro vanhu ndozvavari azvitizike,0
aaah nhasi regai ndidye sadza rangu ndakanyarara kuda chaiko kkkk,1
ndozvavanoda hake uyu,1
queen elizabeth ii vakadya chikoro cheprince edward muharare anomuperekedza ndiye mukuru wechikoro vaclive barnes zuva gumiguru 12 1991 jimmy salani kwakabva,-1
i dnt see reason for celebrating death of a 96 yr old the person hv lives to the fullest asi dai afa achine 40 or so akararama kusvika kuupenyu,-1
saka kuti zvaitokufaira kukumbira kufona ini i call anytime any second and handidi zvekujairirwa kusvika pakunzi usafona or what zvemjolo handiite if i sense any slight of mjolo aaah ndovhara ipapo,-1
kumba kupi yandisina kumboona,1
samsung galaxy a53 5g available instore only 390 12 months warranty free home and office delivery in harare contact sales 0780773357,-1
ehee vanhu vanosiyana uye mafamilies anosiyana i would love to believe kuti ndikauya ne2k for your sis munototi muface ari right here uyu,-1
the other day driving this one ndak omuti chiburuka unokwira mot yamai vavari right ivana arghhhhh,1
mukuwanza nyama yetsuro mutumwa,0
bvisa mr pazita rako uri mwana,1
vana sisi vedu murikuzvihwa here izvi,0
y all s varikufa nemabhora eblue vachijamba nekuti tave kuonana kuti haufanirwe kupereka nerudo rwedu all thanks to shadaya the cat,-1
zvekumama izvo mnangagwa a ma million emari kuti aparadze chamisa wozoti peruzeze vana marujata ku uk anogona kuparadza ccc na ndiko kuda kubereka mai nemboro uku,-1
vanotsamwira shadaya but havatsamwire uebert angel kana magaya,-1
ngafire mujeri ikozvino ana chamisa vatodavirwa foni nesadc yose iye ari mujeri,1
champion hanzi napresident chamisa ukama igasva unozadziswa nekudanana kwete kudya,1
vanhu vachiri kutestwa,0
but mamwe mazita amunopa vana ndevanhu vakuru imagine uchinhotora ruben kucreche,1
avoooo vana vadaddy vatokabira,-1
anogadzira magadziridzo magadziridzo ekugadzirwa tunnel uye kupi muzimbabwe kusimudzira hupenyu hwechinhanho haisi googled mafoto ezvivakwave nekubva kune chero kutumirwa muhupfumi ngaatange anonga tsvina iri mu harare,-1
ko asi bota hamuna kudya henyu here in tinashe mugabe s voice munyaviri wangu unopera don t worry,-1
hauna nyaya mdara mai ngavaaende kumusha muwane mubatsiri ndimutsigire kubva ikoko aive nemukana wekuva neimba yake,1
11yrs old ndapedza kufudza mombe,0
marry chiwenga humbowo hwebasa rondedzero,1
and zimbabwe please please baba musk,1
vatambi musina vemitambo vaimbi midzi vanoda rubatsiro mukuronga mari kuverenga mabasa avo mapfupi and also vanoita mari vachiri vana vadiki,1
vana vakakosha ukacherechedza izvozvo unobatsirika,1
vanhu vanoswera vachirwa hondo vari paphone,-1
ndogara kuudza vanhu kuti kugona mumwe miedzo kupinda mairi sure coz mumwe yachoo kaaa,0
eish uyu anga afa uyu,-1
mwana ane horror uyu,-1
haaa iwe mwana adeepisa hake aah aah aah,-1
vanopa vanhu mari here,0
as a ghetto kid ndechitsvagawo vanhu vane pfungwa dzirinani plus varume verugby necricket vane rudo,1
chenjerai kune vanhu ve zanu pf variku famba vachi pinda mudzimba vachikumbira kuti mugo vhoterawo ed next year vaine ma book vachibva vakumbira phone number id passport ne polling station yako zvekare ngati ngarire vanhu ava uye kuudza vamwe kuti musape vanhu zvinhu izvi,0
pamwe ndiri mwana mudiki murume asi ari kuudzwa kuti kurwadza pane pam urimukati i doubt muno zvaunenge muchiita but then again maybe ndaita mwana handina chandoziva,-1
bharanzi imhata yemunhu uyu akambodzoka kuzoitei,-1
us 1 700 bond notes from harare cbd to warren park 500 bond notes chitundumutseremutsere hachisi kukakata hama,-1
ndakavhara imwe hama mastatus nekuda kweizvozvo daily manheru kusvika mu 40 pix n vids,1
lol haa unenge uchingoshingirira kusvikira zvaita optimism mu vanhu,1
uyu akati justin bieber anokuda nyenga hako,-1
vanhu vakaita development studies d s nesociology vandinoziva vasina zvavari kuita vakawanda varume kkkkkkk,-1
mupurwa ndiwe unofunga mvura kunge maunogara,-1
bvunza hako saw some pple in town ndofunga katove kamental dysfunctional katovepo nepisiro wavepo uyu,-1
mbavha idzi,-1
ini mu hotel pa starter ndototi ka sadza katete main meal chisadza chidhinha and finally dessert ndoti ka tadha karinani,0
hausi kuvaziva vanhu ava,0
yellow zimbabwe yose chipinge makadadisa vp kore shanduko muzimbabwe,1
munomboziva here kuti vamwe vanhu tinenge tichida kushanda tinoshanda sei manje kana muchitaura zvinotapira kudai,0
hanzi hee havapindure ma dm edu ko toipindura sei uine username yakanzi sadza ne mazondo or partyman,-1
kuye if i campaign chero ndisina chandapa vanhu ndonohwina zvine mutsindo ndakaudza vice wachihuri veterai kt iwewe hausi kuzohwinha siyana nekupa vanhu tea nechingwa necup yerice unofunga kt kumba havana kwavo sugar here drill boreholes vakai maschool classes etc zvinobatika,1
kuda kudya too much,-1
zvibhorani izvi,0
haaa chiregayi mwana boiz,1
ndichingoona macomments ko mai wacho aizotaura zviri nani nokutumira mushe i think kungobuda pachena is best so that there won t be blame games,1
handichada kuti sei poster ny nywe kana shadaya achichera zvibhorani,1
fambai baba tinemi shumba,1
sadza chisati chaitwa nacho chitsvene,1
saka vanhu wanepressure,-1
chenjerai kune vanhu ve zanu pf variku famba vachi pinda mudzimba vachikumbira kuti mugo vhoterawo ed next year vaine ma book vachibva vakumbira phone number id passport ne polling station yako zvekare ngati ngarire vanhu ava uye kuudza vamwe kuti musape vanhu zvinhu izvi,-1
ndiani ari kudya kudya netea coffee palunch nguva yese nguva yetii,-1
bhutisi muzukuru wamai sorobhi zororai zvakanaka mai sorobhi,-1
nekuda kwefootball and television on newcastle united vs bournemouth fc avenues harare,1
zviri pamusoro pemaonero ezvematongerwo enyika malema anoongorora vateereri vemuafrica uye chamisa vanokumbira vechidiki muzimbabwe saka vese vari nani maono yavo,1
ngiyalenyanya lelo bala elithi sadza mina,0
huya kuno tibaye,-1
vanhu vari single ndovavat shadaya,-1
wakatadza kudzoreredza hupfumi nema diamonds moda kuzozvigona netoto ehuku mombe tovhera nejanuary huku mungadzigone kuno worse dzinotoda mafeeds,-1
makandiwa panze inzwa kutaura chokwadi uye njere akaipa mfes uyu,1
eddie unoda kutukisa vanhu makuseni iwe but chokwadi vanhu vanochiziva,-1
tese tinobva kumukadzi dady mwana mskana rimwe zuva respect,-1
ipapo ndozofona futi ukama ukama ne side chick,-1
xko jojo tank boe hre apa vanhu varikutoridya rakadaro wena,-1
time iyoyo yaurikutomupa yakatokwana spending tozoita tatora mwana,1
shadaya akamakwa nevanhu wararoora magomba,0
saka toita nyika yekuona minana mugore rema elections chete here nhai vanhu,-1
kuzotora manotes hahaha come to think of it vana tete vanodzidzisa vasikana ahhh noooo,1
ndezve vanhu vane mari dzavo kkkkkk,0
wopedza woda kuuya kumba kwemwana wevanhu ne2 thauzen imika,-1
babe uya anoonererwa that guy should start to go for ma lessons a shadaya,0
mbuya vemumwe munhu vakatizatora muzukuru wavo kuchikoro nhasi ndamuti amutore nekuti ndaive ndazvipira sei ndiri kuudzwa kuti zvakanaka kushandisa mari inosvika 150 pamafuta 150 vanhu vanotsvaga maringoramungora pasi pano ah,-1
ko iye mwana wemumwe munhu anodzidzisireiko,1
usandijairire ukaona ndakanyara wofunga kuti ndakapusa imbwa yemunhu apa nechaunenge watadza hapana,-1
date nevenue ndaisa kana une nharo huya,1
iyazve kutonotora shumba musango woiti chisiya kudya nyama garai manyenga kusda ikoko ma sister ariko wani tisiirei vedu ava,-1
hapachadi lobola pakungoda ka function kechirungu lobola squad yorova tumajive yopa mdhara brick re 2 thaza momz 1 vana tetes vokandrwa thaza vanhu vodya vobaya,0
jabulanichibaya mikana yekusvira muchetura ishoma musika wevanhu vangadai vangoisiya patafura kunze kwekunge vaziva kuti anoita izvi anyway doc munoda kukuitirai makeup kana muri muharare please,0
ndotoshaya kuto vanhu vanodarirei amana kuvenga sadza kudaro,-1
thank you baba vangu,1
exactly kunge ivo wakatidya vakabhadhara vatinyararire apo ndivo vanokudza vana vevanhu kuti vaprove love yavo for them and then dump them moexpecter kuti vavarimavirgins,-1
zhizha rinodaidza madhirezi matete ini mustock saizi s m uye l 25 harare,1
veduwe chii chikuitika ndikuda kufona kumusha apa etym haina kusvika or reversed,-1
ko makazowana katsi here kumba kwedu kune ine matriplets arikutsvaga adoption ndakanzwa one wenyu aiida,1
mamuka sei vahanzvadzi ndandakambotaura kuti tine mutupo mumwe here anyways moswera zvakanaka,-1
kuchitown havatorina mvura yacho,-1
ever since vamnangagwa and his friends set on e throne and chamisa becm e main opposition party ndongo gara ndine stress pavakatora alteza hangu ndakavaudza kuti i don t hv tym to look for it now ndati u cm keep e degree pandichauya kurec9very ndopamuchaziva kuti 2017 was nothin,-1
usatike vanhu,-1
shuwa huyai mutore mvura kuno blaz yakazara,-1
that was an awesome clap back vanhu vanojairira kwete basa,-1
vanoroya vanhu ava,-1
but vanhu vangomupa mbiri but she should be ashamed of her response kuzororazodi pane vanhu,1
ed ndoda murakashe mwana uyo,-1
yave migwagwa baba,1
zviriko here izvi this day and age virginity yakuwanika even kuvanhu vane vana two masalts akazara muguta umu,-1
shadaya bho wangu,-1
and vanhu vacho varipo futi paapp ino vamwe vari kurecogniser kubheura kwavakaita vana vevamwe,-1
masungiro urikutuma kukumbira iwe une nhumbu kuti unozvarira ikoko kuperekwa kuti ufunge kuti ufunge kuti murume wako zvinofanirwa kuperekedzwa mushure mokutumira nana tete,1
1 germany ndiyo ine property 2 german law vs intl law 3 kuvandudzwa kwevhu muzim musiri mutswanda here pasi pekuita upi 4 kuitwa kwekoloni kweafrica here mumaoko upi 5 yetsika chii 6 russian handizivi pushing euro centric values imi vanhu imi,-1
mai tt ndongozi zvayo,-1
varikubirira vanhu vacho ava,-1
iwe hauna kana running water kumba kwako iwe sit down,1
aaah wakafita kunyima iwe,-1
chingo kanda ka vanhu voita havo download chinyararire wangu,-1
baba harare ingotaurai zvenyu zvema attack idzi muchitsvaga malikes nemafollowers hazvishande or else focus on your jiti,-1
nyika ikumanikidza chamisa asi zvematongerwo mukomana haadi hake,1
after listening to that love should not hurt collabo ndaona kuti jah man vakuti regerera nhavatipe album haapere mukuru uyu,1
haapete uyu,0
anoda kudaidzirwa madungwe uyu mukoma,-1
kumasvingo ndinorangarira dare kuti bamunini na bamukuru vanowana 200 vana tete sisters naamai maiguru namainini vanochedzera nomusite half or more and rusambo imombe 8 3 dzinotsikazorora zvinogona kuva mari uye ndizvo zvinotaura vabereki vako,0
learn or perish shadaya akadaro,-1
dembare iri kutamba kwete kana ounce imwe chete yehype drama verve in tbe harare air mutambo wedu uri muitisi,-1
vosungirwa rusununguko votadza kuona murume hakuna chisingaperi vachamhara chete vatongi voudzvanyiriri munyika ipi inosungirwa vanhu sarudzo dzavo,-1
