UserID;Date/Time;topic;SearchTerm;emoticonBased;lexiconBased;Annotation 1;Annotation 2;Annotation 3;finalLabel5Classes;finalLabel3Classes;SN(Original Shona Tweet);ENGoogleTranslate
kairo_baba;2022-09-22 18:31:34;Home_Affairs;Baba;UNK;UNK;NEG;NEG;NEU;NEG;NEG;@TheDark71466842 Haaa iwe hazvina formula izvi mahure vanhu ava;@TheDark71466842 Wow, you have no formula, these people are whores
ndururani4real;2022-09-14 14:23:45;Sanitation ;Vanhu;POS;NEG;VNEG;NEU;VNEG;VNEG;NEG;Hanzi heee vakanaka havasati vazvarwa?????????? kuden kwako ndokusina vanhu vakanaka.;Hey, the good ones aren't born yet?????????? there are no good people in your den.
OVHIVHI;2022-09-21 05:37:42;Home_Affairs;Baba;UNK;UNK;VNEG;NEG;VNEG;VNEG;NEG;@ground_forcez Mumba chaimo muna baba namai;@ground_forcez In the house there is a father and a mother
chikomkay;2022-09-22 06:44:53;Music;Shadaya;UNK;UNK;NEU;NEU;NEG;NEU;NEU;@chitowa14 @MadzimaiTiti Sekuona kwangu shadaya is opinionated and he stands by his own opinion asi madzimai varikutotsvagawo relevance nekubu vamweller;@chitowa14 @MadzimaiTiti In my opinion, shadaya is opinionated and he stands by his own opinion, but the ladies are also looking for relevance with others.
HeraldZimbabwe;2022-09-13 16:21:46;Communication;harare;UNK;UNK;POS;NEU;POS;POS;POS;"Vakuru vePSMI vasvika kudare reHarare Magistrates Court nepamusoro pokungepfuura vachipfuura, vhezheni ekupedzisira mavhoti makuru gare gare gare gare gare gare.
??: Lee Maidza https://t.co/GXhqDZWsig";"PSMI officials have come to the Harare Magistrates Court with more than passing, the final version of the big votes later later later.
??: Lee Maidza https://t.co/GXhqDZWsig"
TichafaTmudzana;2022-09-26 07:54:36;Agriculture;kudya;UNK;POS;VNEG;VNEG;NEU;VNEG;NEG;@FortuneKhumal11 @TariroHungwe2 @drjaytee87 @edmnangagwa Ndevere kana richiri kudya nezanu rinoimba manhanga kutapira asi kana romamirwa nezanu roda kutaura nezvegukurahundi https://t.co/87GBxvtF6c;@FortuneKhumal11 @TariroHungwe2 @drjaytee87 @edmnangagwa Ndevere when she is eating with her mouth she sings sweet pumpkin but when she is bitten by her mouth she wants to talk about gukurahundi https://t.co/87GBxvtF6c
PartsonZindi;2022-09-18 08:53:33;Communication;harare;UNK;UNK;NEU;POS;POS;POS;POS;"#AgroKingsPvtLtd

Takunzira Pa $4.80, unozviwanira kg yenyama itsva. Kurumidza izvozvi apo aripo aripo.

#TheRoyalProducer https://t.co/9nrE5i58GA";"#AgroKingsPvtLtd

Brought to you For $4.80, you get a kg of fresh meat. Hurry now while they are available.

#TheRoyalProducer https://t.co/9nrE5i58GA"
DrPrinceSibanda;2022-09-22 08:05:44;Defence;chamisa;UNK;UNK;NEG;NEG;NEU;NEG;NEG;"@daddyhope @DMwonzora Hatingavaka patsva Zimbabwe pasina kutenda uye kubvuma kugamuchira!
Kukudza kufirefigiri oye kutsvenesa kupedza kuchave kupa zvipo uye kusazvibata patsva patsva!

President D.Mwonzora havafanirwe kuitwa kupedza simba nekukwanisa kwaPresident Chamisa";"@daddyhope @DMwonzora We cannot rebuild Zimbabwe without faith and acceptance!
To honor the fire and to sanctify the end will be to give gifts and not behave again and again!

President D. Mwonzora should not be made to exhaust the power and ability of President Chamisa"
joe32006498;2022-09-19 10:38:01;Defence;chamisa;UNK;UNK;NEG;VNEG;NEG;NEG;NEG;"@drDendere after appoint Mwonzora deputy kune munhu ane 1 month muparty wawai kuti aende kumba & anochema. Vehutongerwo enyika vanorwa uye Doug achaita kuti tiatonge, unotenda muna Chamisa mukati; ??? ???? ??????????????? ??????.";"@drDendere after appointing Mwonzora deputy there is a person who has been in the party for 1 month so he goes home & cries. Politicians fight and Doug will make us rule, you believe in Chamisa inside; ??? ???? ???? ???? ???? ??? ???? ???"
smoshy_tt_guy;2022-09-13 14:36:38;Finance;mombe;UNK;UNK;VNEG;VNEG;NEU;VNEG;NEG;@avocuddle_wacho @yxngn_m I thought engineering was easy until now in my second year....kune unoziva kunodiwa nevapfudza mombe;@avocuddle_wacho @yxngn_m I thought engineering was easy until now in my second year....who knows what cattle herders need
Dontello_7;2022-09-11 16:31:33;Finance;kumba;UNK;POS;POS;VPOS;POS;POS;POS;@kinglyself Kusveta homwe kudzoka kumba womirira nyasha kuti dzikutengere muriwo;@kinglyself Picking up your pocket back home and waiting for grace to buy you vegetables
uncleflo_;2022-09-12 08:45:51;Finance;kumba;POS;POS;VPOS;POS;VPOS;VPOS;POS;@musoro_bhangu_ Kana mota dzedu togezera kumba??;@musoro_bhangu_ When we wash our cars at home??
ShuroFarai;2022-09-19 21:53:17;Sanitation ;Vanhu;UNK;POS;NEU;NEU;VPOS;NEU;NEU;@TichZindoga @nelsonchamisa @daddyhope He won that one if he do that trust me vanhu vanomuunganira usiku huno kuita pungwe chaiyo.;@TichZindoga @nelsonchamisa @daddyhope He won that one if he do that trust me people will gather around him tonight to make a real mess.
lincsbranson1;2022-09-17 05:04:16;Communication;harare;UNK;UNK;POS;VPOS;POS;POS;POS;"@RealTalkFadzie Mabhatiri eSolar akazara ma size ese geli nethium https://t.co/tpwg52nsCz kupiwa simba
Fona kana app 0715313609 https://t.co/fRMQAUMEsj";"@RealTalkFadzie Solar batteries full size gel netium https://t.co/tpwg52nsCz powered
Call or app 0715313609 https://t.co/fRMQAUMEsj"
jonhdoe0;2022-09-19 20:43:54;Sanitation ;Vanhu;UNK;UNK;NEG;NEU;NEG;NEG;NEG;cheku glenview chakapa vanhu cholera gore riya;Glenview gave people cholera that year
tbaseroyal;2022-09-20 10:23:27;Sanitation ;Vanhu;UNK;UNK;NEG;NEU;NEG;NEG;NEG;@_vpart Vanhu vari single ndovavat Shadaya ???? https://t.co/GkqAQqIPwV;@_vpart People who are single are called Shadaya ???? https://t.co/GkqAQqIPwV
DereckScotty;2022-09-09 20:28:44;Communication;harare;UNK;POS;VNEG;VNEG;NEG;VNEG;NEG;@Makiwah_ Harare is more than useless, mari maShona abadli gundwane;@Makiwah_ Harare is more than useless, money is shona abadli gundwane
Alfred67686158;2022-09-17 18:42:19;Finance;kumba;UNK;UNK;VNEG;NEU;VNEG;VNEG;NEG;@Nyasha_Chanaz Kumba kwenyu munodya zvemuhotera chete everyday 10/10;@Nyasha_Chanaz At your house you only eat hotel food everyday 10/10
WendyMadzura;2022-09-25 19:59:37;Agriculture;chikafu;POS;POS;POS;NEU;POS;POS;POS;@ChikomanaC Ummm kana wataura ne varimi kubva kuseni mudumbu munoita gap chokwadi. Kupesana ne chikafu ndakabva ndati BODO KKK ??;@ChikomanaC Ummm, if you talk to the farmers from the morning, you will definitely feel a gap in your stomach. Against the food I said BODO KKK ??
