,ENGoogleTranslate,finalLabel3Classes,target
0,oh mammal feel sorry for the kids wod out while,NEG,2
1,my message is response to your demand that we not join the raspons to eat from my response so that my people eat in my respase to eat from my reserve that,NEU,0
2,you are making fun of people who are single you initw love for compulsion,NEG,2
3,is how to do,NEU,0
4,am honest and prectical quetical quems perm sec just wating for an armary,POS,1
5,this would like to keep it on warm for ref in president charit or begin at state house,POS,1
6,are there angels in harare not white mean the veterinary clinic,POS,1
7,grst in pace with althace but of johaber but of you,NEU,0
8,blush rejected people to do the united,NEG,2
9,people who do not want to drink but when they say that they would put taadian water on smoes on sastos electricity and will drink the cold drinks,NEG,2
10,of the heavens go also in our zimbabwe country,POS,1
11,trade deficit or unfavoravoravoravoravoravoravoravoravoravoral of trade for trade for trading for trading with trading with trazing wolcors cozing on boarder,NEG,2
12,go is to be careful to curse the people vision dollowa hownone form pan soco firon of party with niv by no pipte and another so candence,NEG,2
13,maslay queen on the head full of water dos and nunone jurginity hold topic sti sirginity to take topic sti no just out of facta you aretoutocher,NEG,2
14,which is this,NEU,0
15,ayeways bad children who grow up and suffer you could be lot,POS,1
16,it it duty as journalist writing such issues in griga or wat ever unlocunt to repaint to return to the curract the sountuctions to return to return to the curract the sounting the currents acloging the currans to return to report the currents and watt ever uptunt to report to return to return to return to the curractions to return to return to return to return to return to return to return to return to the curract the secly to return to the curract the seclon to return to the curract the seco were bay we have the mobosition of opposition why picke,NEG,2
17,will prevent child from taking shower kae chaps,NEG,2
18,dad dont brag on the reading that it is counting on varisity theyll be demotivated hahahaha,NEG,2
19,ga hahaha just follows the story unnecessary children mmen tip seekers search for those,NEG,2
20,haaa mukuzvi nyanya takambo teerera muchiti kariba haina mvura haaa useless,NEG,2
21,is more than people,NEG,2
22,gogo vako newe hamuna kiwamana ndiko kusaka vacinyepamuri vain vendanza mose,NEG,2
23,econhast the countrest mobile money platform has launched mobile waller bestemled and years of age,POS,1
24,is no roadsne only there,NEU,0
25,hey although app do children are of us,NEU,0
26,panoo no dogs we are burying the feather first we aim the pin and stumble,POS,1
27,auto refrigerator alatin in harare order yours contact,NEG,2
28,grab our president solo sous sous to do it in the best advice unclone in youths of womens expect thanks hope,NEG,2
29,grown assan out you mission shadia smh,NEG,2
30,mjolo never wont wore the problem that is for forcem peopled to dont want to do it to do that people they have to do so without being given prestile or requesting fight,NEG,2
31,hah he gave people the people,NEU,0
32,baby is the make plan or modal plan is on,NEU,0
33,aahah jrist christ your people start,NEG,2
34,as long nonbal loins just talking to large group to accept your,NEG,2
35,but the elders said the word is not hidden of wool geting if the very people that shadaa castigates distigates distigates distagates take of flurts out,NEG,2
36,maybe people used to be cleaned by lalatonships so that you crying substance county,NEU,0
